iso3,country,population,PAPs,PAP density,NPAPs,NPAP density,PAPs (2016),PAP density (2016),Nurses (2016),Nurse density (2016)
AFG,Afghanistan,400.99462,,,,,,,,
AGO,Angola,345.03774,,,,,,,,
ALB,Albania,28.25,210.0,7.433628318584071,,,260.0,8.974801518812566,90.0,3.106662064204349
ARE,United Arab Emirates,93.65145,,,,,,,,
ARG,Argentina,461.88,4900.0,10.608816142721054,,,4760.0,10.963447497524012,0.0,0.0
ARM,Armenia,27.90974,,,,,,,,
ATA,Antarctica,,,,,,,,,
ATF,French Southern and Antarctic Lands,,,,,,,,,
AUS,Australia,262.47,5400.0,20.57377986055549,0.0,0.0,5535.0,23.092327589803496,0.0,0.0
AUT,Austria,89.53,2650.0,29.59901708924383,130.0,1.4520272534346028,3362.0,39.34464599180807,0.0,0.0
AZE,Azerbaijan,101.3775,,,,,,,,
BDI,Burundi,126.25,4.0,0.0316831683168316,340.0,2.693069306930693,6.0,0.06,,
BEL,Belgium,116.11,2873.0,24.743777452415813,,,2217.0,19.62120541640853,0.0,0.0
BEN,Benin,127.84999999999998,26.0,0.2033633163863903,415.0,3.2459913961673843,61.0,0.5606617647058824,200.0,1.8382352941176472
BFA,Burkina Faso,221.03,57.0,0.2578835452201058,800.0,3.6194181785278015,51.0,0.2816745830111565,450.0,2.485363967745499
BGD,Bangladesh,1678.86,1939.0,1.1549503829979868,,,1279.0,0.7944296752714353,0.0,0.0
BGR,Bulgaria,68.77743,,,,,,,,
BHS,Bahamas,4.07906,,,,,,,,
BIH,Bosnia and Herzegovina,32.49,,,,,230.0,6.036745406824147,0.0,0.0
BLR,Belarus,93.58,2395.0,25.593075443470827,,,2185.0,23.009688289806235,0.0,0.0
BLZ,Belize,4.12,20.0,4.854368932038835,19.0,4.611650485436893,7.0,1.9498607242339836,22.0,6.128133704735376
BOL,Bolivia,119.93,450.0,3.7521887767864586,,,720.0,6.713286713286713,0.0,0.0
BRA,Brazil,2153.54,25484.0,11.833539195928564,,,24000.0,11.546899657441976,0.0,0.0
BRN,Brunei Darussalam,4.45,31.0,6.966292134831461,,,0.0,,,
BTN,Bhutan,7.88,13.0,1.649746192893401,30.0,3.807106598984772,7.0,0.9032258064516128,18.0,2.3225806451612905
BWA,Botswana,25.88423,,,,,,,,
CAF,Central African Republic,50.17,2.0,0.0398644608331672,3.0,0.0597966912497508,0.0,0.0,24.0,0.4897959183673469
CAN,Canada,386.68,3678.0,9.511740974449156,,,4464.0,12.420701168614356,0.0,0.0
CHE,Switzerland,87.48,2695.0,30.807041609510744,1900.0,21.71925011431184,2594.0,31.25677792505121,2500.0,30.124111338715508
CHL,Chile,192.5,2131.0,11.07012987012987,,,1180.0,6.574548696233564,0.0,0.0
CHN,China,14193.49,92726.0,6.532995056184208,28200.0,1.986826354899324,71698.0,5.121285714285714,0.0,0.0
CIV,C̫te d'Ivoire,277.42,132.5,0.4776151683368178,445.0,1.6040660370557276,167.0,0.7356180072240331,304.0,1.3390890670425513
CMR,Cameroon,271.98628,,,,,,,,
COD,Democratic Republic of the Congo,952.41,90.0,0.0944971178379059,756.0,0.7937757898384099,98.0,0.1268329299701036,963.0,1.2463276689919371
COG,Republic of the Congo,58.35806,,,,,,,,
COK,Cook Islands,0.17564,1.0,5.693463903438852,,,1.0,4.761904761904762,0.0,0.0
COL,Colombia,515.13,4148.0,8.05233630345738,,,3600.0,7.464388645835493,0.0,0.0
CRI,Costa Rica,51.82,353.0,6.8120416827479735,,,397.0,8.257071547420965,0.0,0.0
CUB,Cuba,113.06,1452.0,12.842738369007606,,,1786.0,15.680421422300263,,
CYN,Northern Cyprus,,,,,,,,,
CYP,Cyprus,12.23,207.0,16.925592804578905,,,162.0,13.905579399141631,0.0,0.0
CZE,Czech Republic,107.23,2500.0,23.314370978271004,,,2121.0,20.11761358247178,0.0,0.0
DEU,Germany,829.89,31014.0,37.37121787224813,1400.0,1.6869705623636868,25000.0,30.9835415427325,,
DJI,Djibouti,11.05557,,,,,,,,
DNK,Denmark,58.72,1204.0,20.50408719346049,2200.0,37.46594005449592,1925.0,33.956606103369204,1150.0,20.285764685129653
DOM,Dominican Republic,110.56,1167.0,10.55535455861071,,,800.0,7.598784194528875,0.0,0.0
DZA,Algeria,453.5,500.0,1.1025358324145536,2500.0,5.512679162072767,1550.0,3.9076286996420095,3500.0,8.823677708869056
ECU,Ecuador,181.13,500.0,2.7604482968034008,,,290.0,1.796333002973241,0.0,0.0
EGY,Egypt,1061.57,8436.0,7.946720423523649,,,5500.0,6.010403461992394,0.0,0.0
ERI,Eritrea,35.46421,0.0,0.0,98.0,2.7633493034244947,1.0,0.0191277735271614,56.0,1.0711553175210404
ESP,Spain,472.88,8000.0,16.917611233293858,172.0,0.3637286415158179,7500.0,16.261220241966956,,
EST,Estonia,13.21,340.0,25.73807721423164,,,287.0,21.85833968012186,,
ETH,Ethiopia,1208.13,106.0,0.087738902270451,4545.833333333334,3.762702137463132,51.0,0.0513124930828747,350.0,0.3521445603726695
FIN,Finland,55.42,903.0,16.293756766510285,3000.0,54.13208228076507,1100.0,19.98546511627907,3000.0,54.50581395348837
FJI,Fiji,9.09,23.0,2.5302530253025304,,,28.0,3.1390134529147984,0.0,0.0
FLK,Falkland Islands / Malvinas,,,,,,,,,
FRA,France,677.0,11524.0,17.022156573116693,10843.0,16.016248153618907,9700.0,15.063281310660765,6000.0,9.317493594223151
FSM,Federated States of Micronesia,1.17,3.0,2.5641025641025643,2.0,1.7094017094017095,5.0,4.807692307692308,9.0,8.653846153846153
GAB,Gabon,23.32,36.0,1.5437392795883362,90.0,3.859348198970841,22.0,1.2753623188405796,,
GBR,United Kingdom,677.69,9645.0,14.232171051660789,173.0,0.25527896235742,11549.0,17.845664132517463,0.0,0.0
GEO,Georgia,37.0,500.0,13.513513513513514,,,500.0,12.5,0.0,0.0
GHA,Ghana,323.95,,,824.0,2.5436024077789785,110.0,0.4013133892739876,640.0,2.334914264866837
GIN,Guinea,135.31906,,,,,,,,
GMB,The Gambia,25.58,3.0,0.1172791243158717,63.0,2.462861610633307,2.0,0.1004520341536916,35.0,1.7579105976896032
GNB,Guinea-Bissau,20.60721,,,,,,,,
GNQ,Equatorial Guinea,16.34466,,,,,,,,
GRC,Greece,105.83,1000.0,9.449116507606538,1050.0,9.921572332986866,1300.0,11.866727521679598,0.0,0.0
GRL,Greenland,0.56653,,,,,,,,
GTM,Guatemala,174.85,554.0,3.168430082928224,,,311.0,1.902955393746558,,
GUY,Guyana,7.94,16.0,2.0151133501259446,25.0,3.1486146095717884,25.0,3.259452411994785,30.0,3.911342894393742
HND,Honduras,102.21,200.0,1.9567556990509736,90.0,0.8805400645729381,180.0,2.2291021671826625,0.0,0.0
HRV,Croatia,40.03,676.3333333333334,16.89566158714298,1000.0,24.981264051961027,870.0,20.5188679245283,0.0,0.0
HTI,Haiti,114.47569,,,,,,,,
HUN,Hungary,96.9,1857.0,19.1640866873065,600.0,6.191950464396284,900.0,9.1324200913242,0.0,0.0
IDN,Indonesia,2791.35,4134.0,1.4810038153581602,4000.0,1.4329983699643545,1800.0,0.6988554301066919,150.0,0.0582379525088909
IND,India,14066.32,60000.0,4.265507965125207,,,16500.0,1.2692307692307692,0.0,0.0
IRL,Ireland,50.33165,,,,,,,,
IRN,Iran,860.23,6000.0,6.97487881148065,7800.0,9.067342454924846,3800.0,4.803498969775879,0.0,0.0
IRQ,Iraq,421.65,800.0,1.897308193999763,,,488.0,1.3398127556763584,0.0,0.0
ISL,Iceland,3.71,,,70.0,18.867924528301888,67.0,20.364741641337385,70.0,21.27659574468085
ISR,Israel,94.97,550.0,5.791302516584184,,,800.0,9.92063492063492,0.0,0.0
ITA,Italy,592.02,15000.0,25.33698185872099,,,15500.0,25.920599351148866,0.0,0.0
JAM,Jamaica,28.27695,,,,,,,,
JOR,Jordan,103.01,474.0,4.601495000485389,,,500.0,6.584145377929945,0.0,0.0
JPN,Japan,1247.47,4576.0,3.668224486360393,30.0,0.0240486745172228,12208.0,9.644950779780997,0.0,0.0
KAZ,Kazakhstan,191.81,2570.0,13.398675772900264,,,2877.0,16.323404255319147,0.0,0.0
KEN,Kenya,562.15,208.0,0.370008004980877,,,202.0,0.4386536373507057,108.0,0.2345276872964169
KGZ,Kyrgyzstan,66.918,,,,,,,,
KHM,Cambodia,171.69,290.0,1.6890908031917993,360.0,2.0968023763760266,450.0,2.88868917704455,100.0,0.6419309282321222
KIR,Kiribati,1.23,6.0,4.878048780487805,,,4.0,3.571428571428571,0.0,0.0
KOR,Republic of Korea,518.43,5830.0,11.245491194568215,680.0,1.3116524892463786,5771.0,11.47475791859702,0.0,0.0
KOS,Kosovo,17.86038,,,,,,,,
KWT,Kuwait,43.8,1500.0,34.24657534246575,,,500.0,12.846865364850975,0.0,0.0
LAO,Lao PDR,74.81,92.0,1.2297821146905494,40.0,0.5346878759524127,60.0,0.8820935019112026,,
LBN,Lebanon,66.85,420.0,6.282722513089006,,,560.0,9.571013501965476,40.0,0.6836438215689626
LBR,Liberia,53.05,1.0,0.0188501413760603,90.0,1.696512723845429,0.0,0.0,60.0,1.3324450366422385
LBY,Libya,70.41,350.0,4.970884817497515,700.0,9.94176963499503,330.0,5.256451099076139,200.0,3.1857279388340234
LKA,Sri Lanka,220.91,1623.5,7.349146711330406,,,410.0,1.9792420951001688,0.0,0.0
LSO,Lesotho,21.76,,,42.0,1.9301470588235288,5.0,0.2341920374707259,0.0,0.0
LTU,Lithuania,27.4,851.0,31.058394160583944,,,533.0,18.519805420430853,0.0,0.0
LUX,Luxembourg,6.45,85.0,13.178294573643411,409.0,63.41085271317829,80.0,14.109347442680775,0.0,0.0
LVA,Latvia,18.65,350.0,18.766756032171585,,,355.0,18.02030456852792,491.0,24.923857868020303
MAR,Morocco,377.73,830.0,2.197336721997193,2000.0,5.294787281920948,650.0,1.8907440805166096,1500.0,4.363255570422945
MDA,Moldova,26.06,420.0,16.116653875671528,,,470.0,11.5507495699189,,
MDG,Madagascar,291.78,71.0,0.2433340187812736,300.0,1.0281719103434095,55.0,0.226944501753662,200.0,0.8252527336496802
MDV,Maldives,5.41,48.0,8.872458410351202,,,5.0,1.6666666666666667,0.0,0.0
MEX,Mexico,1315.63,9665.0,7.346290370392891,,,8157.0,6.42197501121897,0.0,0.0
MHL,Marshall Islands,0.6,1.0,1.6666666666666667,3.0,5.0,1.0,1.8867924528301885,,
MKD,North Macedonia,20.7,237.0,11.449275362318842,,,206.0,9.913378248315688,,
MLI,Mali,214.74,36.0,0.1676445934618608,,,53.0,0.3011363636363636,85.0,0.4829545454545454
MLT,Malta,5.18,93.0,17.953667953667956,,,86.0,20.52505966587112,,
MMR,Myanmar,552.27,684.0,1.238524634689554,0.0,0.0,721.0,1.33773679425571,0.0,0.0
MNE,Montenegro,6.21,117.0,18.84057971014493,,,81.0,12.93929712460064,0.0,0.0
MNG,Mongolia,33.78,272.0,8.052101835405566,,,200.0,6.759040216289287,0.0,0.0
MOZ,Mozambique,330.89,35.0,0.1057753331922995,157.0,0.4744779231768866,60.0,0.2144542140253056,257.0,0.9185788834083924
MRT,Mauritania,49.02,24.0,0.4895960832313341,,,21.0,0.5162241887905604,95.0,2.335299901671583
MUS,Mauritius,12.69,76.0,5.988967691095351,,,55.0,4.32050274941084,0.0,0.0
MWI,Malawi,201.81,10.0,0.0495515583965115,166.0,0.822555869382092,6.0,0.0348533255881498,0.0,0.0
MYS,Malaysia,331.81,1100.0,3.315150236581176,185.0,0.5575479943341068,872.0,2.8749464244502323,0.0,0.0
NAM,Namibia,26.34,54.0,2.050113895216401,,,60.0,2.440016266775112,0.0,0.0
NCL,New Caledonia,2.7103,,,,,,,,
NER,Niger,260.84,160.0,0.6134028523232634,150.0,0.5750651740530593,14.0,0.0703552942358912,118.0,0.5929946228453691
NGA,Nigeria,2167.47,550.0,0.2537520703862106,850.0,0.392162290596871,1050.0,0.5762834656041097,250.0,0.1372103489533594
NIC,Nicaragua,67.79,250.0,3.6878595663077145,450.0,6.638147219353886,250.0,4.110489970404473,0.0,0.0
NIU,Niue,0.01626,1.0,61.50061500615006,,,,,,
NLD,Netherlands,175.13,,,2780.0,15.873922229201163,2316.0,13.683899556868536,2050.0,12.112259970457902
NOR,Norway,54.7,1099.0,20.09140767824497,2000.0,36.56307129798903,1329.0,25.503742084052966,2000.0,38.380349261178274
NPL,Nepal,302.26,400.0,1.3233639912657975,,,235.0,0.8241565546748966,70.0,0.2454934418180543
NRU,Nauru,0.11,1.0,9.090909090909092,,,1.0,10.0,,
NZL,New Zealand,51.6,942.0,18.25581395348837,,,983.0,21.709363957597173,0.0,0.0
OMN,Oman,53.24,304.0,5.709992486851991,,,290.0,6.458797327394209,0.0,0.0
PAK,Pakistan,2294.89,3393.0,1.4785022375800148,,,3100.0,1.6408627762339554,50.0,0.0264655286489347
PAN,Panama,44.47,400.0,8.994827973915,,,376.0,9.56986510562484,0.0,0.0
PER,Peru,336.84,2850.0,8.460990381189884,,,553.0,1.7624374541861874,0.0,0.0
PHL,Philippines,1125.09,2542.0,2.25937480557111,,,3510.0,3.4856354084946224,,
PLW,Palau,0.18,2.0,11.11111111111111,1.0,5.555555555555555,2.0,9.523809523809524,1.0,4.761904761904762
PNG,Papua New Guinea,92.92,103.0,1.1084804132587172,79.0,0.8501937150236762,45.0,0.5906286914293215,72.0,0.9450059062869144
POL,Poland,377.81,12400.0,32.82072999655912,,,6500.0,16.834144825442866,3980.0,10.307676370040404
PRI,Puerto Rico,32.63584,,,,,,,,
PRK,Dem. Rep. Korea,259.71909,,,,,,,,
PRT,Portugal,102.34,1542.0,15.067422317764317,,,1855.0,17.92270531400966,0.0,0.0
PRY,Paraguay,73.06,310.0,4.243087872981112,160.0,2.18998083766767,327.0,4.925440578400361,0.0,0.0
PSX,Palestine,50.34,133.0,2.6420341676599124,,,330.0,7.068703081483297,0.0,0.0
QAT,Qatar,26.88235,,,,,,,,
ROU,Romania,190.69,1159.0,6.077927526351671,,,1400.0,7.175439495669109,,
RUS,Russian Federation,1438.92,39000.0,27.10366107914269,,,30000.0,20.9121897153851,0.0,0.0
RWA,Rwanda,136.0,30.0,0.2205882352941176,280.0,2.0588235294117645,31.0,0.2670111972437554,445.0,3.832902670111973
SAH,Western Sahara,,,,,,,,,
SAU,Saudi Arabia,358.45,2372.0,6.617380387780723,5.0,0.0139489468545124,1500.0,4.755865567533292,0.0,0.0
SDN,Sudan,459.92,350.0,0.7610019133762393,1700.0,3.696295007827448,190.0,0.4722256741642848,160.0,0.3976637256120293
SDS,South Sudan,,,,,,,,,
SEN,Senegal,176.54,108.0,0.6117593746459726,128.0,0.7250481477285601,94.0,0.6213232864035958,50.0,0.3304911097891467
SGP,Singapore,57.77,551.5,9.546477410420634,,,480.0,8.565310492505354,0.0,0.0
SLB,Solomon Islands,7.21,7.0,0.970873786407767,4.0,0.5547850208044383,5.0,0.8561643835616438,0.0,0.0
SLE,Sierra Leone,83.06,3.0,0.0361184685769323,60.0,0.7223693715386468,6.0,0.0793943586603101,72.0,0.9527323039237222
SLV,El Salvador,65.5,143.0,2.183206106870229,750.0,11.450381679389311,166.0,2.709319405908275,0.0,0.0
SOL,Somaliland,42.0,,,60.0,1.4285714285714286,1311.0,5.598944887163964,4000.0,17.082974484100575
SOM,Somalia,168.42,36.0,0.2137513359458497,,,0.0,0.0,31.0,0.2873829609715398
SRB,Serbia,68.25,900.0,13.186813186813186,700.0,10.256410256410255,950.0,10.733250480171732,0.0,0.0
SUR,Suriname,6.12985,,,,,,,,
SVK,Slovakia,54.47247,,,,,,,,
SVN,Slovenia,21.0,298.0,14.19047619047619,300.0,14.285714285714286,400.0,19.342359767891683,0.0,0.0
SWE,Sweden,104.69,1947.0,18.597764829496608,5150.0,49.19285509599771,2200.0,22.49718785151856,10600.0,108.3955414664076
SWZ,Kingdom of eSwatini,11.85,7.0,0.5907172995780591,,,9.0,0.6993006993006994,60.0,4.662004662004662
SYR,Syria,193.65,450.0,2.323780015491866,,,536.0,2.8969841098259645,0.0,0.0
TCD,Chad,174.14,12.0,0.0689100723555759,70.0,0.4019754220741932,1.0,0.0071235218692121,22.0,0.156717481122667
TGO,Togo,86.81,10.0,0.1151941020619744,150.0,1.7279115309296165,17.0,0.2327173169062286,203.0,2.778918548939083
THA,Thailand,700.7800000000001,1166.6666666666667,1.6648115908939565,5000.0,7.134906818116955,1662.0,2.445592195294221,,
TJK,Tajikistan,97.50064,,,,,,,,
TKM,Turkmenistan,63.41855,,,,,,,,
TLS,Timor-Leste,13.69,12.0,0.8765522279035793,19.0,1.3878743608473338,14.0,1.0799877498532373,18.0,1.3885556783827335
TON,Tonga,1.08,2.0,1.851851851851852,1.0,0.9259259259259258,5.0,4.716981132075471,1.0,0.9433962264150942
TTO,Trinidad and Tobago,14.07,177.0,12.57995735607676,,,75.0,5.514705882352941,0.0,0.0
TUN,Tunisia,120.46999999999998,156.0,1.2949281978915914,2600.0,21.582136631526524,570.0,5.064865825484272,0.0,0.0
TUR,Turkey,855.62,8570.0,10.01612865524415,6486.0,7.580467964750707,7000.0,8.898380494749956,,
TUV,Tuvalu,0.12,1.0,8.333333333333334,,,2.0,20.0,0.0,0.0
TWN,Taiwan,235.7,,,4000.0,16.970725498515062,,,,
TZA,Tanzania,632.99,1570.0,2.4802919477400907,1500.0,2.369705682554226,50.0,0.0935103796521413,140.0,0.2618290630259958
UGA,Uganda,484.33,76.0,0.1569178039766275,500.0,1.032353973530444,72.0,0.1844640295142447,430.0,1.1016601762656282
UKR,Ukraine,437.92855,,,,,,,,
URY,Uruguay,34.96,422.0,12.070938215102975,0.0,0.0,470.0,13.694638694638694,0.0,0.0
USA,United States,3352.35,53250.0,15.884379614300416,56172.0,16.756006980178086,47500.0,14.761913641251311,33914.0,10.539695562724148
UZB,Uzbekistan,349.151,,,,,,,,
VEN,Venezuela,292.67,800.0,2.733454060887689,,,690.0,2.218078950752218,0.0,0.0
VNM,Vietnam,989.54,1500.0,1.51585585221416,,,1000.0,1.0701138601147162,,
VUT,Vanuatu,3.22,3.0,0.9316770186335404,3.0,0.9316770186335404,4.0,1.509433962264151,5.0,1.8867924528301887
WSM,Samoa,2.02,4.0,1.98019801980198,0.0,0.0,3.0,1.5544041450777202,0.0,0.0
YEM,Yemen,311.55,95.0,0.30492697801316,,,15.0,0.0559033989266547,,
ZAF,South Africa,607.56,1750.0,2.8803739548357368,,,1968.0,3.611671866397504,0.0,0.0
ZMB,Zambia,194.7,129.0,0.6625577812018492,100.0,0.5136106831022086,79.0,0.4872933629410313,2.0,0.0123365408339501
ZWE,Zimbabwe,153.31,73.0,0.4761594155632379,,,87.0,0.5575850797923476,193.0,1.2369416137922191
